scenario,catchment,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055
RCP26,MKCWTLK0BD,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6
RCP26,XKCWTRS1WD,536.4,554.2,787.6,517.0,572.1,261.3,277.5,514.2,530.4,347.7,382.0,535.2,309.1,221.2,268.7,353.9,731.4,396.1,478.1,593.2,577.0,212.8,370.9,664.5,252.2,160.6,496.0,467.8,398.3,247.2,864.6,484.8,402.1,560.2,388.6,587.4
RCP26,ALCWTCT1DD,30.2,89.3,2.1,92.6,57.3,97.6,28.2,75.3,0.9,36.8,46.2,154.9,25.6,160.6,125.3,123.9,134.7,8.5,45.7,23.0,44.1,154.9,92.0,160.6,28.3,7.6,31.6,54.9,73.4,139.3,127.6,75.9,160.6,18.4,81.8,17.9
RCP26,ALCWTCT2DD,60.0,62.6,229.8,5.4,51.2,9.1,2.9,17.9,117.9,104.7,17.7,3.6,5.8,5.9,6.1,5.2,210.9,138.1,100.9,25.1,130.6,5.1,35.1,226.1,4.1,3.3,166.8,89.3,22.8,92.8,27.2,27.8,35.7,6.4,7.6,17.9
RCP26,ALCWTCT3DD,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7
RCP26,MKCWTCT1BD,-169.8,-194.8,-138.2,-179.9,-175.3,-250.7,-189.0,-205.7,-160.6,-215.0,-190.5,-173.0,-243.2,-299.0,-332.6,-214.4,-166.3,-160.5,-219.0,-124.2,-165.6,-208.5,-192.5,-159.0,-280.9,-250.5,-190.9,-205.5,-198.9,-365.1,-167.3,-168.9,-208.7,-181.3,-143.6,-184.0
RCP26,MKCWTCT2BD,222.2,127.2,184.8,77.3,124.1,109.4,87.6,109.8,178.0,116.4,109.0,87.8,113.7,57.9,68.8,82.6,179.6,144.0,100.7,198.8,148.3,104.9,93.9,142.3,91.5,73.5,197.7,105.1,99.5,123.9,121.6,181.7,86.3,114.1,234.8,91.5
RCP26,MKCWTCT3DD,26.2,19.6,123.0,0.6,5.0,0.6,0.6,0.6,51.9,0.6,0.6,0.6,0.6,0.6,0.6,0.6,60.1,20.1,0.6,65.7,0.6,0.6,0.6,29.6,0.6,0.6,20.0,0.6,0.6,0.6,22.4,0.6,0.6,0.6,0.6,0.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RCP26,ALCWTRS1DD,639.6,656.9,1452.3,196.2,985.2,44.6,28.5,345.9,991.0,355.2,210.5,246.6,52.1,0.0,5.0,60.4,1655.4,457.7,429.2,968.2,1637.0,0.0,597.2,946.2,0.0,0.0,2630.8,486.3,361.2,210.4,3755.6,1177.6,365.5,472.2,321.7,388.8
RCP26,ALCWTRS2DD,699.6,787.0,1718.9,201.7,1127.5,126.1,32.9,426.3,1268.7,459.9,263.1,254.5,60.0,5.9,11.1,68.6,2447.7,595.8,530.1,1090.4,1951.5,5.1,690.9,1172.4,4.1,6.1,3668.4,575.5,486.3,337.1,3856.6,1538.7,425.8,523.8,329.6,447.9
RCP26,ALCWTRS3DD,978.4,1113.7,1907.5,591.7,1332.0,359.0,99.3,627.5,1825.8,641.6,484.9,353.9,395.7,113.5,350.2,88.7,3264.1,1120.1,812.7,1496.8,2824.3,68.9,1085.4,1748.7,64.6,20.9,2945.2,964.6,795.5,632.9,3860.8,2651.9,696.3,1734.3,893.8,550.8
RCP26,MKCWTRS1BD,119.4,94.6,106.0,89.1,115.2,69.7,81.3,81.6,106.1,91.3,84.5,101.8,76.4,45.3,41.7,66.7,114.8,87.4,61.2,118.9,115.5,60.6,58.3,125.7,54.9,53.7,86.0,79.9,69.7,47.2,100.5,112.2,89.6,87.2,114.8,96.9
RCP26,MKCWTRS2BD,342.5,236.5,290.8,166.4,239.3,179.1,171.5,191.5,284.1,207.7,193.6,189.6,190.2,108.4,114.6,150.0,294.3,231.3,171.4,317.7,265.3,165.5,152.2,300.1,146.4,130.0,288.1,186.4,169.3,171.1,222.1,295.2,176.0,201.3,349.6,188.3
RCP26,MKCWTRS3DD,371.1,263.2,516.4,101.3,310.4,112.0,95.1,171.9,342.8,199.3,141.8,102.8,196.1,8.1,51.7,48.2,354.4,340.5,168.2,396.0,197.1,109.7,138.8,416.4,56.8,62.6,404.4,204.9,150.5,138.4,265.7,274.0,176.6,140.3,333.0,120.3
