scenario,catchment,week,2020
ref,MKCWTLK0BD,1,0.573
ref,MKCWTLK0BD,2,0.288
ref,MKCWTLK0BD,3,0.538
ref,MKCWTLK0BD,4,0.591
ref,MKCWTLK0BD,5,0.645
ref,MKCWTLK0BD,6,0.389
ref,MKCWTLK0BD,7,0.605
ref,MKCWTLK0BD,8,0.813
ref,MKCWTLK0BD,9,0.773
ref,MKCWTLK0BD,10,0.405
ref,MKCWTLK0BD,11,0.758
ref,MKCWTLK0BD,12,1.0
ref,MKCWTLK0BD,13,0.953
ref,MKCWTLK0BD,14,0.62
ref,MKCWTLK0BD,15,0.436
ref,MKCWTLK0BD,16,0.919
ref,MKCWTLK0BD,17,0.87
ref,MKCWTLK0BD,18,0.715
ref,MKCWTLK0BD,19,0.315
ref,MKCWTLK0BD,20,0.643
ref,MKCWTLK0BD,21,0.632
ref,MKCWTLK0BD,22,0.635
ref,MKCWTLK0BD,23,0.444
ref,MKCWTLK0BD,24,0.304
ref,MKCWTLK0BD,25,0.38
ref,MKCWTLK0BD,26,0.391
ref,MKCWTLK0BD,27,0.554
ref,MKCWTLK0BD,28,0.17
ref,MKCWTLK0BD,29,0.188
ref,MKCWTLK0BD,30,0.163
ref,MKCWTLK0BD,31,0.483
ref,MKCWTLK0BD,32,0.269
ref,MKCWTLK0BD,33,0.093
ref,MKCWTLK0BD,34,0.066
ref,MKCWTLK0BD,35,0.225
ref,MKCWTLK0BD,36,0.486
ref,MKCWTLK0BD,37,0.083
ref,MKCWTLK0BD,38,0.037
ref,MKCWTLK0BD,39,0.101
ref,MKCWTLK0BD,40,0.527
ref,MKCWTLK0BD,41,0.139
ref,MKCWTLK0BD,42,0.051
ref,MKCWTLK0BD,43,0.047
ref,MKCWTLK0BD,44,0.385
ref,MKCWTLK0BD,45,0.343
ref,MKCWTLK0BD,46,0.1
ref,MKCWTLK0BD,47,0.126
ref,MKCWTLK0BD,48,0.31
ref,MKCWTLK0BD,49,0.487
ref,MKCWTLK0BD,50,0.189
ref,MKCWTLK0BD,51,0.301
ref,MKCWTLK0BD,52,0.363
