,catchment,scenario,ehype_ts_mean,ehype_wk_mean,panta_ts_mean,panta_wk_mean,ehype-panta ts,ehype-panta wk
0,BDCT1,ref,17.462386990180224,18.44373584905661,3.601165637794125,3.7533962264150946,13.8612213523861,14.690339622641513
1,BDCT2,ref,29.01356391616319,29.9503962264151,22.902157626539022,23.70162264150944,6.111406289624167,6.24877358490566
2,BDCT3,ref,42.88110470166028,44.84292452830187,35.84887647200502,37.164943396226434,7.03222822965526,7.677981132075438
3,BDRS1,ref,22.191642371601134,23.518905660377367,29.50186422695169,29.780377358490554,-7.310221855350555,-6.261471698113187
4,BDRS2,ref,51.08478861404817,53.342716981132085,52.158756620060856,53.239773584905656,-1.0739680060126844,0.10294339622642923
5,BDRS3,ref,87.06240964879159,91.12335849056603,87.99467328778364,90.39130188679243,-0.9322636389920547,0.7320566037736
6,DCT1,ref,49.50185101963728,50.90815094339623,50.381432100798804,51.06490566037736,-0.8795810811615254,-0.1567547169811334
7,DCT2,ref,28.907322035498467,29.709735849056603,91.99289977056326,93.79801886792451,-63.08557773506479,-64.08828301886791
8,DCT3,ref,39.19445364425842,40.40390566037736,19.706116315330895,19.875905660377363,19.48833732892752,20.528
9,DRS1,ref,164.74373857629732,172.30554716981135,193.09995233809593,197.67281132075465,-28.356213761798614,-25.3672641509433
10,DRS2,ref,193.65067012839918,202.01483018867918,284.4309576747106,290.6650188679246,-90.78028754631143,-88.65018867924539
11,DRS3,ref,230.08229739426045,239.67243396226414,300.8745272471411,307.11554716981146,-70.79222985288064,-67.44311320754733
12,WDRS1,ref,54.509939671450276,57.17558490566038,67.29267034694307,69.31615094339621,-12.782730675492793,-12.14056603773583
13,ohrid,ref,4.729255381419941,5.075094339622642,26.65945463879619,26.779528301886792,-21.930199257376252,-21.70443396226415
