model,scenario,year,catchment,month,week,value
ehype,ref,2020,WDRS1,1,1,67.328
ehype,ref,2020,WDRS1,1,2,46.089
ehype,ref,2020,WDRS1,1,3,63.613
ehype,ref,2020,WDRS1,1,4,72.596
ehype,ref,2020,WDRS1,1,5,84.69
ehype,ref,2020,WDRS1,2,6,43.51
ehype,ref,2020,WDRS1,2,7,74.215
ehype,ref,2020,WDRS1,2,8,91.149
ehype,ref,2020,WDRS1,2,9,95.018
ehype,ref,2020,WDRS1,3,10,44.443
ehype,ref,2020,WDRS1,3,11,91.2
ehype,ref,2020,WDRS1,3,12,98.096
ehype,ref,2020,WDRS1,3,13,108.785
ehype,ref,2020,WDRS1,4,14,67.116
ehype,ref,2020,WDRS1,4,15,58.825
ehype,ref,2020,WDRS1,4,16,74.463
ehype,ref,2020,WDRS1,4,17,66.799
ehype,ref,2020,WDRS1,5,18,72.672
ehype,ref,2020,WDRS1,5,19,37.476
ehype,ref,2020,WDRS1,5,20,40.321
ehype,ref,2020,WDRS1,5,21,33.258
ehype,ref,2020,WDRS1,5,22,54.018
ehype,ref,2020,WDRS1,6,23,47.13
ehype,ref,2020,WDRS1,6,24,33.867
ehype,ref,2020,WDRS1,6,25,19.605
ehype,ref,2020,WDRS1,6,26,30.947
ehype,ref,2020,WDRS1,7,27,56.534
ehype,ref,2020,WDRS1,7,28,33.72
ehype,ref,2020,WDRS1,7,29,16.272
ehype,ref,2020,WDRS1,7,30,14.284
ehype,ref,2020,WDRS1,8,31,55.163
ehype,ref,2020,WDRS1,8,32,34.225
ehype,ref,2020,WDRS1,8,33,22.661
ehype,ref,2020,WDRS1,8,34,12.728
ehype,ref,2020,WDRS1,8,35,34.134
ehype,ref,2020,WDRS1,9,36,48.986
ehype,ref,2020,WDRS1,9,37,35.209
ehype,ref,2020,WDRS1,9,38,27.282
ehype,ref,2020,WDRS1,9,39,36.86
ehype,ref,2020,WDRS1,10,40,58.143
ehype,ref,2020,WDRS1,10,41,35.534
ehype,ref,2020,WDRS1,10,42,37.801
ehype,ref,2020,WDRS1,10,43,35.57
ehype,ref,2020,WDRS1,10,44,60.314
ehype,ref,2020,WDRS1,11,45,40.553
ehype,ref,2020,WDRS1,11,46,58.877
ehype,ref,2020,WDRS1,11,47,80.566
ehype,ref,2020,WDRS1,11,48,85.114
ehype,ref,2020,WDRS1,12,49,49.075
ehype,ref,2020,WDRS1,12,50,62.211
ehype,ref,2020,WDRS1,12,51,80.492
ehype,ref,2020,WDRS1,12,52,92.575
