country,type,years,REF,RCP26,RCP45,RCP85
Albania,import,2041-2050,2371.457,512.2485714285714,869.7825,1085.0466666666666
Albania,solar,2041-2050,914.094,3067.124,3087.129,3115.2129999999997
Albania,wind,2041-2050,498.026,1474.458,1474.458,1474.458
Kosovo,import,2041-2050,25.437,25.223999999999997,25.223999999999997,25.223999999999997
Kosovo,solar,2041-2050,38.63999999999999,38.63999999999999,38.63999999999999,38.63999999999999
Kosovo,wind,2041-2050,481.5500000000001,487.28000000000003,487.28000000000003,487.28000000000003
Montenegro,import,2041-2050,12.48,12.48,12.48,12.48
Montenegro,solar,2041-2050,287.7200000000001,287.7200000000001,287.7200000000001,287.7200000000001
Montenegro,wind,2041-2050,256.19999999999993,256.19999999999993,256.19999999999993,256.19999999999993
N.Macedonia,import,2041-2050,2862.533,2061.9300000000003,2112.099,2189.3640000000005
N.Macedonia,solar,2041-2050,2189.18,3093.417,3093.417,3093.417
N.Macedonia,wind,2041-2050,737.0599999999998,737.0599999999998,737.0599999999998,737.0599999999998
