,country,tech,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
0,Albania,ALPHYDMHI0,42.06,42.06,42.06,42.06,42.06,42.06,42.06,42.06,42.06,42.06,42.06,42.06,42.06,42.06,42.06,42.06,42.06,42.06,42.06,42.06,42.06,42.06,42.06,42.06,42.06,42.06,42.06,42.06,42.06,42.06
1,Albania,ALPHYDMHI2,1812.81,1809.67,1792.08,1451.08,1811.0,1811.0,1832.25,1789.58,1811.0,1811.0,1811.0,1811.0,1811.0,2169.59,1828.2,1810.95,1810.22,1810.22,1809.78,1807.25,1797.64,1800.89,1803.08,1823.31,1775.83,1800.72,1783.39,1763.97,1768.67,1788.39
2,Albania,ALPHYDMHI3,2057.28,2055.36,2055.95,1683.86,2056.08,2107.11,2024.06,2037.0,2107.11,2005.08,2107.11,2005.08,2107.11,2375.47,2055.39,2055.17,2054.7,2061.95,2066.81,2052.75,2044.17,2047.08,2046.36,2029.67,2055.92,2055.83,2031.47,2014.14,2013.33,2035.95
3,Albania,ALPHYDMHI4,1156.22,1155.22,1155.95,985.2,1155.61,1182.7,1138.58,1145.45,1182.7,1128.5,1182.7,1128.5,1182.7,1297.53,1155.22,1155.11,1154.86,1158.7,1166.47,1163.03,1159.28,1154.08,1150.42,1141.56,1155.5,1155.45,1142.53,1133.31,1132.89,1144.89
4,Albania,ALPHYRRHI0,207.64,207.64,207.64,207.64,207.64,207.64,207.64,207.64,207.64,207.64,207.64,207.64,207.64,207.64,207.64,207.64,207.64,207.64,207.64,207.64,207.64,207.64,207.64,207.64,207.64,207.64,207.64,207.64,207.64,207.64
5,Albania,ALPHYSHHI0,10.89,10.89,10.89,10.89,10.89,10.89,10.89,10.89,10.89,10.89,10.89,10.89,10.89,10.89,10.89,10.89,10.89,10.89,10.89,10.89,10.89,10.89,10.89,10.89,10.89,10.89,10.89,10.89,10.89,10.89
6,Montenegro,MEPHYDMHI0,827.42,827.42,827.42,827.42,985.08,985.08,985.08,985.08,985.08,1627.58,1627.58,1627.58,1627.58,1627.58,1627.58,1627.58,1627.58,1627.58,1627.58,1627.58,1627.58,1627.58,1627.58,1627.58,1627.58,1627.58,1627.58,1627.58,1627.58,1627.58
7,Montenegro,MEPHYRRNI0,85.69,85.69,85.69,85.69,85.69,85.69,85.69,85.69,85.69,85.69,85.69,85.69,85.69,85.69,85.69,85.69,85.69,85.69,85.69,85.69,85.69,85.69,85.69,85.69,85.69,85.69,85.69,85.69,85.69,85.69
8,N.Macedonia,MKPHYDMHI1,126.5,126.5,126.5,123.92,126.5,126.5,129.08,123.92,126.5,126.5,126.5,126.5,126.5,129.08,126.5,126.5,126.5,126.5,126.5,126.5,126.5,126.5,126.5,126.5,126.5,126.5,126.5,126.5,126.5,125.53
9,N.Macedonia,MKPHYDMHI2,319.44,316.86,302.25,315.06,317.31,317.31,335.08,299.53,317.31,317.31,317.31,317.31,317.31,319.56,332.22,317.92,317.31,317.31,317.31,316.44,309.39,312.69,315.19,332.81,317.31,317.31,317.31,315.97,316.11,304.42
