Gas inside Drin,Gas outside Drin,Coal inside Drin,Coal outside Drin,Wind inside Drin,Wind outside Drin,Hydro inside Drin,Hydro outside Drin,Solar PV inside Drin,Solar PV outside Drin,Backstop,Import,Export
,AL - Gas Combined Cycle outside DRB - Existing,ME - Coal Single Cycle inside DRB - New,MK - Coal power plants outside DRB - Existing,AL - Wind Turbine inside DRB,AL - Wind Turbine outside DRB,AL - Hydro dam inside DRB - Existing,AL - Hydro dam outside DRB - Existing,AL - Solar PV inside DRB,AL - Solar PV outside DRB,AL - BACKSTOP TECHNOLOGY,AL - Total Electricity Import,AL - Total Electricity Export
,AL - Gas Combined Cycle outside DRB - New,,MK - Coal power plants outside DRB - New,MK - Wind Turbine inside DRB,MK - Wind Turbine outside DRB ,AL - Hydro dam - New Skavica Hpp ,AL - Hydro dam outside DRB - New,MK - Solar PV inside DRB,MK - Solar PV outside DRB,MK - BACKSTOP TECHNOLOGY,MK - Total Electricity Import,MK - Total Electricity Export
,MK - CHP outside DRB - Existing,,ME - Coal Single Cycle outside DRB - Existing,ME - Wind Turbine inside DRB,ME - Wind Turbine outside DRB ,AL - Hydro dam - Fierza HPP,AL - Hydro ROR outside DRB - Existing,ME - Solar PV inside DRB,ME - Solar PV outside DRB,ME - BACKSTOP TECHNOLOGY,ME - Total Electricity Import,ME - Total Electricity Export
,MK - CHP outside DRB - New,,ME - Coal Single Cycle outside DRB - New,XK - Wind Turbine inside DRB,XK - Wind Turbine outside DRB,AL - Hydro dam - Koman HPP,AL - Hydro Small outside DRB - Existing,XK - Solar PV inside DRB,XK - Solar PV outside DRB,XK - BACKSTOP TECHNOLOGY,XK - Total Electricity Import,XK - Total Electricity Export
,MK - Gas Combined Cycle outside DRB - New,,XK - Coal Single Cycle outside DRB - Existing,,,AL - Hydro dam - Vau I dejes HPP,MK - Hydro dam outside DRB - Existing,,,,,
,,,XK - Coal Single Cycle outside DRB - New,,,AL - Hydro ROR inside - Existing,MK - Hydro dam outside DRB - New,,,,,
,,,,,,AL - Hydro Small inside DRB - Existing,MK - Hydro ROR outside DRB - Existing,,,,,
,,,,,,MK - Hydro dam - Globicica HPP,MK - Hydro ROR outside DRB - New,,,,,
,,,,,,MK - Hydro dam - Shpilje HPP,MK - Hydro Small outside DRB - Existing,,,,,
,,,,,,ME - Hydro dam inside DRB - Existing,ME - Hydro dam outside DRB - New,,,,,
,,,,,,ME - Hydro ROR inside DRB - New,ME - Hydro dam outside DRB - Existing,,,,,
,,,,,,,ME - Hydro dam outside DRB - New,,,,,
,,,,,,,ME - Hydro ROR outside DRB - New,,,,,
,,,,,,,XK - Hydro Dam outside DRB - Existing ,,,,,
,,,,,,,XK - Hydro Dam outside DRB - New ,,,,,
